Internet,Phone,TotalBlackout,Time/date,Source,Provider
35.65,44.86,4.66,Thu 21 Feb 2019 19:42:46,istheservicedown,verizon
44.67,29.63,8.8,Thu 14 Feb 2019 17:03:59,istheservicedown,att
42.24,36.13,5.37,Thu 21 Feb 2019 19:42:50,istheservicedown,att
42.28,36.0,5.34,Thu 21 Feb 2019 16:30:51,istheservicedown,att
44.67,29.63,8.8,Thu 14 Feb 2019 17:05:22,istheservicedown,att
44.67,29.63,8.8,Thu 14 Feb 2019 17:02:23,istheservicedown,att
64.2,2.77,7.28,Thu 21 Feb 2019 16:30:57,istheservicedown,charter
0.0,0.0,0.0,Thu 21 Feb 2019 16:30:57,istheservicedown,charter
33.0,5.0,6.57,Thu 21 Feb 2019 16:31:00,istheservicedown,sprint
36.4,44.36,4.67,Thu 21 Feb 2019 16:30:47,istheservicedown,verizon
64.18,2.78,7.28,Thu 21 Feb 2019 19:42:55,istheservicedown,charter
32.87,5.0,6.46,Thu 21 Feb 2019 19:42:57,istheservicedown,sprint
