Location,total blackout ,internet ,Status,Provider,Source,Date collected,Time collected
brooklyn,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
evington,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
bethel,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
cumberland,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
bedford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
johnstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
bradford,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
randallstown,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
bowie,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
lexington-park,11%,88%,No problems,Atlantic-Broadband,Down detector,Thu 21 Mar 2019,13:37:59
