Location,phone ,total blackout ,mobile internet ,Status,Provider,Source,Date collected,Time collected
norcross,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
houston,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
brooklyn,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
phoenix,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
dayton,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
tampa,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
sumter,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
greenville,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
garland,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
tempe,65%,18%,15%,No problems,Cricket-Wireless,Down detector,Thu 21 Mar 2019,13:15:02
