Location,total blackout ,internet ,tv ,Status,Provider,Source,Date collected,Time collected
chicago,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
allentown,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
bethlehem,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
new-york,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
washington,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
easton,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
corona,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
northampton,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
whitehall,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
somerville,8%,86%,4%,No problems,RCN,Down detector,Thu 21 Mar 2019,11:54:55
