Location,phone ,no network or reception ,internet ,Status,Provider,Source,Date collected,Time collected
dallas,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
sumter,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
houston,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
chicago,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
atlanta,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
los-angeles,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
phoenix,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
milwaukee,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
orlando,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
new-york,29%,21%,49%,No problems,att,Down detector,Thu 21 Mar 2019,13:27:17
