Location,Bad signal ,phone ,internet ,Status,Provider,Source,Date collected,Time collected
lincoln,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
concord,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
lexington,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
atlanta,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
norcross,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
houston,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
grayson,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
dallas,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
blairsville,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
chicago,,10%,89%,No problems,windstream,Down detector,Thu 21 Mar 2019,19:12:30
