Location,Reports
"Chicago, IL",1479
"Dallas, TX",1216
"Houston, TX",674
"Los Angeles, CA",579
"Atlanta, GA",501
"Detroit, MI",452
"Orlando, FL",300
"Fort Worth, TX",252
"Columbus, OH",245
"Charlotte, NC",238
"Irving, TX",220
"Cleveland, OH",220
"Austin, TX",209
"Miami, FL",207
"Indianapolis, IN",181
"Sacramento, CA",159
"Center Line, MI",155
"San Antonio, TX",140
"Oakland, CA",139
"Danville, CA",124
"Kansas City, MO",117
"Nashville, TN",116
"San Francisco, CA",114
"New York City, NY",108
"Lancaster, CA",106
"San Jose, CA",104
"Milwaukee, WI",103
"Trenton, MI",99
"St. Louis, MO",97
"Oklahoma City, OK",97
"Concord, CA",97
"Katy, TX",95
"Seattle, WA",86
"Norcross, GA",83
"Irvine, CA",82
"San Leandro, CA",81
"Jacksonville, FL",78
"San Diego, CA",70
"Temecula, CA",69
"Brooklyn, NY",68
"Fullerton, CA",68
"Raleigh, NC",66
"Pittsburgh, PA",63
"Woodstock, GA",61
"Arlington, TX",61
"Birmingham, AL",54
"Plano, TX",52
"Stone Mountain, GA",50
"Denver, CO",49
"Fort Lauderdale, FL",47
